,time,code,ampshift,pspamp,exptname
4534,554.3924424999999,T,10.0,12.6800537109375,20200712_000
4536,554.6394325,T,-40.0,0.0,20200712_000
4538,554.8469024999999,T,-20.0,3.2958984375,20200712_000
4546,555.9362024999999,T,-10.0,4.5623779296875,20200712_000
4548,556.2041324999999,T,20.0,12.87841796875,20200712_000
4550,556.4507225,T,40.0,12.8631591796875,20200712_000
4552,556.7440124999999,T,30.0,12.4664306640625,20200712_000
4554,557.0496224999999,T,-5.0,5.706787109375,20200712_000
4556,557.3482325,T,5.0,13.0767822265625,20200712_000
4558,557.6503425,T,0.0,7.354736328125,20200712_000
4560,557.9551925,T,-30.0,3.265380859375,20200712_000
4562,558.2324625,T,10.0,12.4359130859375,20200712_000
4564,558.5219125,T,-40.0,0.0762939453125,20200712_000
4566,558.8114425,T,-20.0,3.3111572265625,20200712_000
4574,559.9716225,T,-10.0,4.8370361328125,20200712_000
4576,560.2583924999999,T,20.0,12.5732421875,20200712_000
4578,560.5430425,T,40.0,13.0157470703125,20200712_000
4580,560.8243124999999,T,30.0,12.39013671875,20200712_000
4582,561.1057025,T,-5.0,6.011962890625,20200712_000
4584,561.3986524999999,T,5.0,12.9547119140625,20200712_000
4586,561.7004025,T,0.0,7.6141357421875,20200712_000
4588,561.9857925,T,-30.0,2.227783203125,20200712_000
4590,562.2911224999999,T,10.0,12.5274658203125,20200712_000
4592,562.5945925,T,-40.0,0.1678466796875,20200712_000
4594,562.9019025,T,-20.0,3.5858154296875,20200712_000
4602,564.1079225,T,-10.0,4.57763671875,20200712_000
4604,564.4210525,T,20.0,12.4969482421875,20200712_000
4606,564.7156024999999,T,40.0,12.451171875,20200712_000
4608,564.9718325,T,30.0,13.5040283203125,20200712_000
4610,565.2401424999999,T,-5.0,5.767822265625,20200712_000
4612,565.5128924999999,T,5.0,12.451171875,20200712_000
4614,565.8030225,T,0.0,8.2550048828125,20200712_000
4616,566.0996925,T,-30.0,3.082275390625,20200712_000
4618,566.3993025,T,10.0,12.054443359375,20200712_000
4620,566.7057924999999,T,-40.0,0.091552734375,20200712_000
4622,567.0108025,T,-20.0,3.5247802734375,20200712_000
4630,568.1329225,T,-10.0,4.6234130859375,20200712_000
4632,568.3969924999999,T,20.0,12.5579833984375,20200712_000
4634,568.6737625,T,40.0,12.5732421875,20200712_000
4636,568.9518125,T,30.0,12.75634765625,20200712_000
4638,569.2161625,T,-5.0,6.28662109375,20200712_000
4640,569.4890324999999,T,5.0,8.2550048828125,20200712_000
4642,569.7429024999999,T,0.0,7.7362060546875,20200712_000
4644,570.0174324999999,T,-30.0,2.01416015625,20200712_000
4646,570.2859024999999,T,10.0,12.1612548828125,20200712_000
4648,570.5422325,T,-40.0,-0.213623046875,20200712_000
4650,570.7915425,T,-20.0,2.9296875,20200712_000
4658,571.5894424999999,T,-10.0,4.730224609375,20200712_000
4660,571.8389525,T,20.0,12.4969482421875,20200712_000
4662,572.1137225,T,40.0,13.00048828125,20200712_000
4664,572.4024125,T,30.0,12.664794921875,20200712_000
4666,572.6740024999999,T,-5.0,5.9051513671875,20200712_000
4668,572.9786925,T,5.0,12.5579833984375,20200712_000
4670,573.2763625,T,0.0,7.32421875,20200712_000
4672,573.5593124999999,T,-30.0,2.1209716796875,20200712_000
4674,573.8438024999999,T,10.0,12.3443603515625,20200712_000
4676,574.1411525,T,-40.0,-0.213623046875,20200712_000
4678,574.4316024999999,T,-20.0,3.509521484375,20200712_000
4686,575.6037425,T,-10.0,5.43212890625,20200712_000
4688,575.8903925,T,20.0,12.8173828125,20200712_000
4690,576.1849225,T,40.0,12.6495361328125,20200712_000
4692,576.4831125,T,30.0,12.4969482421875,20200712_000
4694,576.7891424999999,T,-5.0,6.16455078125,20200712_000
4696,577.0870325,T,5.0,12.5579833984375,20200712_000
4698,577.3810625,T,0.0,7.32421875,20200712_000
4700,577.7047524999999,T,-30.0,2.5787353515625,20200712_000
4702,578.0314225,T,10.0,12.8021240234375,20200712_000
4704,578.3408525,T,-40.0,-0.0152587890625,20200712_000
4706,578.6283424999999,T,-20.0,3.6773681640625,20200712_000
4714,579.7928224999999,T,-10.0,4.7607421875,20200712_000
4716,580.0875325,T,20.0,12.359619140625,20200712_000
4718,580.4013024999999,T,40.0,12.6800537109375,20200712_000
4720,580.7211325,T,30.0,12.8631591796875,20200712_000
4722,581.0446025,T,-5.0,6.195068359375,20200712_000
4724,581.3294924999999,T,5.0,8.6822509765625,20200712_000
4726,581.6453224999999,T,-0.0,7.7362060546875,20200712_000
4728,581.9286525,T,-30.0,2.6702880859375,20200712_000
4730,582.2113025,T,10.0,13.1072998046875,20200712_000
4732,582.4961525,T,-40.0,-0.152587890625,20200712_000
4734,582.7998425,T,-20.0,4.0435791015625,20200712_000
429,85.77906499999999,T,30.0,10.43701171875,20200614_002_ampshift
431,86.223215,T,-40.0,-0.1068115234375,20200614_002_ampshift
433,86.59742499999999,T,10.0,9.0484619140625,20200614_002_ampshift
435,86.968335,T,-10.0,3.72314453125,20200614_002_ampshift
