,time,code,ampshift,s0t,s0a,s1t,s1a,s2t,s2a,s3t,s3a,animalID,exptname
292,36.823474999999995,T,20.0,4.113712374581939,12.9547119140625,6.57190635451505,13.3514404296875,,,,,20200621,20200621_002
294,37.061904999999996,T,-0.0,6.120401337792642,13.824462890625,,,,,,,20200621,20200621_002
296,37.285214999999994,T,30.0,3.612040133779264,12.908935546875,5.6187290969899655,12.8173828125,,,,,20200621,20200621_002
298,37.564524999999996,T,-10.0,,,,,,,,,20200621,20200621_002
300,37.828754999999994,T,5.0,5.568561872909698,13.458251953125,,,,,,,20200621,20200621_002
308,38.911415,T,40.0,3.311036789297659,12.6190185546875,5.167224080267558,12.8021240234375,,,,,20200621,20200621_002
310,39.207924999999996,T,-30.0,,,,,,,,,20200621,20200621_002
312,39.462815,T,-40.0,,,,,,,,,20200621,20200621_002
314,39.73296499999999,T,-20.0,,,,,,,,,20200621,20200621_002
316,40.006415,T,-5.0,7.324414715719063,13.2904052734375,,,,,,,20200621,20200621_002
318,40.336304999999996,T,10.0,4.765886287625418,12.451171875,,,,,,,20200621,20200621_002
320,40.65271499999999,T,20.0,4.113712374581939,12.20703125,6.521739130434782,12.6495361328125,,,,,20200621,20200621_002
322,40.941745,T,0.0,7.123745819397993,12.664794921875,,,,,,,20200621,20200621_002
324,41.257814999999994,T,30.0,3.612040133779264,11.8408203125,5.719063545150501,11.7340087890625,,,,,20200621,20200621_002
326,41.553644999999996,T,-10.0,,,,,,,,,20200621,20200621_002
328,41.833355,T,5.0,5.568561872909698,12.6190185546875,,,,,,,20200621,20200621_002
336,42.940335,T,40.0,3.311036789297659,11.65771484375,5.317725752508361,11.444091796875,,,,,20200621,20200621_002
338,43.239625,T,-30.0,,,,,,,,,20200621,20200621_002
340,43.480315,T,-40.0,,,,,,,,,20200621,20200621_002
342,43.694365,T,-20.0,,,,,,,,,20200621,20200621_002
344,43.896454999999996,T,-5.0,7.123745819397993,12.3748779296875,,,,,,,20200621,20200621_002
346,44.128744999999995,T,10.0,4.916387959866221,11.749267578125,,,,,,,20200621,20200621_002
348,44.442874999999994,T,20.0,4.1638795986622075,11.444091796875,6.672240802675585,11.688232421875,,,,,20200621,20200621_002
350,44.69130499999999,T,0.0,6.471571906354515,12.0391845703125,,,,,,,20200621,20200621_002
352,44.919115,T,30.0,3.6622073578595313,11.3067626953125,5.8193979933110365,11.444091796875,,,,,20200621,20200621_002
354,45.144104999999996,T,-10.0,,,,,,,,,20200621,20200621_002
356,45.337875,T,5.0,5.518394648829432,12.14599609375,,,,,,,20200621,20200621_002
364,46.211515,T,40.0,3.311036789297659,11.199951171875,5.217391304347825,10.650634765625,,,,,20200621,20200621_002
366,46.424425,T,-30.0,,,,,,,,,20200621,20200621_002
368,46.698314999999994,T,-40.0,,,,,,,,,20200621,20200621_002
370,46.985845,T,-20.0,,,,,,,,,20200621,20200621_002
372,47.20301499999999,T,-5.0,,,,,,,,,20200621,20200621_002
374,47.456044999999996,T,10.0,4.966555183946488,11.5509033203125,,,,,,,20200621,20200621_002
376,47.711574999999996,T,20.0,4.1638795986622075,11.077880859375,6.7224080267558515,11.474609375,,,,,20200621,20200621_002
378,47.960944999999995,T,0.0,6.97324414715719,11.9476318359375,,,,,,,20200621,20200621_002
380,48.267914999999995,T,30.0,3.612040133779264,10.772705078125,5.769230769230768,10.8795166015625,,,,,20200621,20200621_002
382,48.563464999999994,T,-10.0,,,,,,,,,20200621,20200621_002
384,48.841615,T,5.0,5.568561872909698,12.481689453125,,,,,,,20200621,20200621_002
392,49.990815,T,40.0,3.260869565217391,11.1846923828125,5.167224080267558,10.833740234375,,,,,20200621,20200621_002
394,50.29470499999999,T,-30.0,,,,,,,,,20200621,20200621_002
396,50.54275499999999,T,-40.0,,,,,,,,,20200621,20200621_002
398,50.84820499999999,T,-20.0,,,,,,,,,20200621,20200621_002
400,51.131615,T,-5.0,7.725752508361204,12.1307373046875,,,,,,,20200621,20200621_002
402,51.446704999999994,T,10.0,4.765886287625418,11.1236572265625,,,,,,,20200621,20200621_002
404,51.732175,T,20.0,4.113712374581939,10.80322265625,6.57190635451505,11.0321044921875,,,,,20200621,20200621_002
406,52.018984999999994,T,0.0,6.521739130434782,11.566162109375,,,,,,,20200621,20200621_002
408,52.303974999999994,T,30.0,3.6622073578595313,10.6048583984375,5.719063545150501,10.2996826171875,,,,,20200621,20200621_002
410,52.599045,T,-10.0,,,,,,,,,20200621,20200621_002
412,52.909335,T,5.0,5.668896321070234,11.2152099609375,,,,,,,20200621,20200621_002
421,54.042215,T,40.0,3.311036789297659,10.25390625,5.2675585284280935,10.31494140625,,,,,20200621,20200621_002
51,7.136257499999999,T,-5.0,5.367892976588628,12.75634765625,,,,,,,20200621,20200621_005
53,7.396107499999999,T,5.0,4.665551839464882,13.763427734375,6.622073578595318,8.514404296875,,,,,20200621,20200621_005
55,7.674317499999999,T,30.0,3.612040133779264,12.8326416015625,5.367892976588628,7.2174072265625,,,,,20200621,20200621_005
57,7.978507499999999,T,20.0,3.9632107023411365,13.2598876953125,5.769230769230768,7.8277587890625,,,,,20200621,20200621_005
59,8.205817499999998,T,-30.0,,,,,,,,,20200621,20200621_005
61,8.343047499999999,T,-20.0,9.983277591973243,13.4124755859375,,,,,,,20200621,20200621_005
63,8.4531175,T,0.0,5.217391304347825,13.763427734375,7.725752508361204,9.21630859375,,,,,20200621,20200621_005
65,8.577907499999998,T,-10.0,6.270903010033444,13.3209228515625,,,,,,,20200621,20200621_005
67,8.713417499999998,T,-40.0,,,,,,,,,20200621,20200621_005
69,8.825407499999999,T,10.0,4.414715719063544,14.312744140625,6.270903010033444,8.8653564453125,,,,,20200621,20200621_005
71,8.955197499999999,T,40.0,3.4615384615384612,13.885498046875,5.217391304347825,8.30078125,,,,,20200621,20200621_005
79,9.625717499999999,T,-5.0,5.668896321070234,13.885498046875,,,,,,,20200621,20200621_005
81,9.841507499999999,T,5.0,4.7157190635451505,14.4500732421875,6.672240802675585,9.1705322265625,,,,,20200621,20200621_005
83,10.0676975,T,30.0,3.712374581939799,13.519287109375,5.468227424749164,8.0108642578125,,,,,20200621,20200621_005
85,10.3055075,T,20.0,4.013377926421405,13.4124755859375,5.8193979933110365,8.026123046875,,,,,20200621,20200621_005
87,10.554817499999999,T,-30.0,,,,,,,,,20200621,20200621_005
89,10.8125275,T,-20.0,10.234113712374581,12.75634765625,,,,,,,20200621,20200621_005
91,11.0903975,T,-0.0,5.117056856187291,12.359619140625,7.37458193979933,8.1024169921875,,,,,20200621,20200621_005
93,11.3428475,T,-10.0,6.070234113712375,11.566162109375,,,,,,,20200621,20200621_005
95,11.625237499999999,T,-40.0,,,,,,,,,20200621,20200621_005
97,11.8914075,T,10.0,4.364548494983278,11.5814208984375,6.270903010033444,7.110595703125,,,,,20200621,20200621_005
99,12.1880975,T,40.0,3.4615384615384612,10.9100341796875,5.217391304347825,6.195068359375,,,,,20200621,20200621_005
107,13.303097499999998,T,-5.0,5.6187290969899655,11.077880859375,,,,,,,20200621,20200621_005
109,13.551147499999999,T,5.0,4.765886287625418,11.5814208984375,6.77257525083612,7.38525390625,,,,,20200621,20200621_005
111,13.8526175,T,30.0,3.6622073578595313,10.772705078125,5.468227424749164,6.40869140625,,,,,20200621,20200621_005
113,14.151447499999998,T,20.0,4.013377926421405,10.589599609375,5.8193979933110365,6.4849853515625,,,,,20200621,20200621_005
115,14.4659775,T,-30.0,,,,,,,,,20200621,20200621_005
117,14.637547499999998,T,-20.0,8.42809364548495,9.9945068359375,,,,,,,20200621,20200621_005
119,14.8170975,T,0.0,5.167224080267558,9.9639892578125,7.525083612040133,6.8359375,,,,,20200621,20200621_005
121,15.032667499999999,T,-10.0,6.321070234113712,10.101318359375,,,,,,,20200621,20200621_005
123,15.2969575,T,-40.0,,,,,,,,,20200621,20200621_005
125,15.596347499999998,T,10.0,4.464882943143812,9.6893310546875,6.321070234113712,5.9967041015625,,,,,20200621,20200621_005
127,15.899497499999999,T,40.0,3.4615384615384612,9.2926025390625,5.217391304347825,5.340576171875,,,,,20200621,20200621_005
135,17.0387375,T,-5.0,5.668896321070234,9.1094970703125,,,,,,,20200621,20200621_005
137,17.3185075,T,5.0,4.7157190635451505,9.185791015625,6.672240802675585,5.9967041015625,,,,,20200621,20200621_005
139,17.5917575,T,30.0,3.6622073578595313,9.002685546875,5.418060200668896,5.4168701171875,,,,,20200621,20200621_005
141,17.886507499999997,T,20.0,4.013377926421405,8.087158203125,5.8193979933110365,5.0048828125,,,,,20200621,20200621_005
143,18.2325575,T,-30.0,,,,,,,,,20200621,20200621_005
145,18.4399475,T,-20.0,8.879598662207357,7.598876953125,,,,,,,20200621,20200621_005
147,18.645617499999997,T,0.0,5.117056856187291,8.0413818359375,7.525083612040133,5.950927734375,,,,,20200621,20200621_005
