,time,code,ampshift,fsl,onset,spkamp,exptname
247,44.85928499999999,T,10.0,2.8218812541694462,2.241494329553035,32.28759765625,20200531_006
251,45.255644999999994,T,20.0,2.681787858572381,2.021347565043362,31.6925048828125,20200531_006
254,45.651965,T,-5.0,3.3022014676450966,2.7018012008005337,31.8603515625,20200531_006
257,46.048305,T,40.0,2.5016677785190127,2.021347565043362,30.8685302734375,20200531_006
269,47.43548499999999,T,30.0,2.561707805203469,2.021347565043362,30.548095703125,20200531_006
273,47.831844999999994,T,-30.0,6.184122748498999,4.322881921280853,29.1290283203125,20200531_006
276,48.228165,T,-40.0,,,0.0,20200531_006
280,48.624505,T,-20.0,4.2228152101400935,3.362241494329553,30.517578125,20200531_006
283,49.02086499999999,T,5.0,2.9219479653102067,2.401601067378252,30.242919921875,20200531_006
286,49.417184999999996,T,0.0,3.0820547031354235,2.561707805203469,30.21240234375,20200531_006
290,49.813545,T,-10.0,3.5223482321547697,2.941961307538359,30.4718017578125,20200531_006
293,50.20986499999999,T,10.0,2.8218812541694462,2.2615076717811875,30.4412841796875,20200531_006
296,50.606224999999995,T,20.0,2.681787858572381,2.0413609072715144,30.45654296875,20200531_006
300,51.002545,T,-5.0,3.2821881254169445,2.6617745163442295,30.3802490234375,20200531_006
303,51.39890499999999,T,40.0,2.5216811207471648,2.021347565043362,29.8919677734375,20200531_006
314,52.78608499999999,T,30.0,2.561707805203469,2.021347565043362,30.2581787109375,20200531_006
316,53.182444999999994,T,-30.0,5.783855903935957,4.342895263509005,29.7088623046875,20200531_006
319,53.578765,T,-40.0,,,0.0,20200531_006
323,53.97510499999999,T,-20.0,4.342895263509005,3.402268178785857,29.541015625,20200531_006
326,54.37146499999999,T,5.0,2.9219479653102067,2.361574382921948,29.205322265625,20200531_006
330,54.767784999999996,T,-0.0,3.1020680453635756,2.5016677785190127,29.205322265625,20200531_006
333,55.164145,T,-10.0,3.5223482321547697,2.941961307538359,29.35791015625,20200531_006
