,time,code,ampshift,s0t,s0a,s1t,s1a,s2t,s2a,s3t,s3a,animalID,exptname
21,4.976767499999999,T,-20.0,4.232053422370617,21.8048095703125,,,,,,,20200129,20200129_010
23,5.370607499999999,T,30.0,2.7796327212020033,21.0418701171875,,,,,,,20200129,20200129_010
25,5.764427499999999,T,-30.0,5.108514190317195,21.4080810546875,,,,,,,20200129,20200129_010
32,7.142847499999999,T,40.0,2.729549248747913,20.172119140625,,,,,,,20200129,20200129_010
34,7.536647499999999,T,0.0,3.280467445742905,20.599365234375,,,,,,,20200129,20200129_010
36,7.930467499999999,T,-10.0,3.6560934891485806,20.3857421875,,,,,,,20200129,20200129_010
38,8.324327499999999,T,-40.0,,,,,,,,,20200129,20200129_010
40,8.7181275,T,20.0,2.8547579298831383,19.83642578125,,,,,,,20200129,20200129_010
42,9.111967499999999,T,5.0,3.130217028380634,20.3704833984375,,,,,,,20200129,20200129_010
44,9.505787499999999,T,-5.0,3.4557595993322203,20.233154296875,,,,,,,20200129,20200129_010
46,9.8996275,T,10.0,3.030050083472454,19.59228515625,,,,,,,20200129,20200129_010
48,10.2934475,T,-20.0,4.282136894824708,20.1416015625,,,,,,,20200129,20200129_010
50,10.687267499999999,T,30.0,2.7796327212020033,19.2108154296875,,,,,,,20200129,20200129_010
52,11.081087499999999,T,-30.0,5.308848080133556,20.0042724609375,,,,,,,20200129,20200129_010
59,12.459487499999998,T,40.0,2.679465776293823,20.2789306640625,,,,,,,20200129,20200129_010
61,12.853327499999999,T,0.0,3.2554257095158596,20.3704833984375,,,,,,,20200129,20200129_010
63,13.247147499999999,T,-10.0,3.6560934891485806,20.5841064453125,,,,,,,20200129,20200129_010
65,13.640967499999999,T,-40.0,,,,,,,,,20200129,20200129_010
67,14.034787499999998,T,20.0,2.8797996661101837,20.5841064453125,,,,,,,20200129,20200129_010
69,14.4286275,T,5.0,3.130217028380634,20.538330078125,,,,,,,20200129,20200129_010
71,14.822447499999999,T,-5.0,3.4557595993322203,20.8740234375,,,,,,,20200129,20200129_010
73,15.216267499999999,T,10.0,3.030050083472454,20.8282470703125,,,,,,,20200129,20200129_010
75,15.610087499999999,T,-20.0,4.257095158597663,21.0723876953125,,,,,,,20200129,20200129_010
77,16.0039275,T,30.0,2.7796327212020033,20.5078125,,,,,,,20200129,20200129_010
79,16.397747499999998,T,-30.0,5.258764607679466,21.17919921875,,,,,,,20200129,20200129_010
86,17.776127499999998,T,40.0,2.704507512520868,20.172119140625,,,,,,,20200129,20200129_010
88,18.1699675,T,0.0,3.230383973288814,19.378662109375,,,,,,,20200129,20200129_010
90,18.5637875,T,-10.0,3.6560934891485806,19.500732421875,,,,,,,20200129,20200129_010
92,18.957647499999997,T,-40.0,,,,,,,,,20200129,20200129_010
94,19.3514475,T,20.0,2.8797996661101837,18.4478759765625,,,,,,,20200129,20200129_010
96,19.745267499999997,T,5.0,3.130217028380634,18.9361572265625,,,,,,,20200129,20200129_010
98,20.1390875,T,-5.0,3.4307178631051753,19.4854736328125,,,,,,,20200129,20200129_010
100,20.5329275,T,10.0,3.030050083472454,19.5465087890625,,,,,,,20200129,20200129_010
102,20.926747499999998,T,-20.0,4.232053422370617,20.0347900390625,,,,,,,20200129,20200129_010
104,21.3205675,T,30.0,2.7796327212020033,19.5770263671875,,,,,,,20200129,20200129_010
106,21.714387499999997,T,-30.0,5.183639398998331,20.2178955078125,,,,,,,20200129,20200129_010
113,23.092787499999996,T,40.0,2.729549248747913,19.6075439453125,,,,,,,20200129,20200129_010
115,23.486647499999997,T,0.0,3.2554257095158596,20.050048828125,,,,,,,20200129,20200129_010
117,23.8804475,T,-10.0,3.6560934891485806,20.172119140625,,,,,,,20200129,20200129_010
119,24.274267499999997,T,-40.0,8.388981636060098,19.6990966796875,,,,,,,20200129,20200129_010
121,24.6680875,T,20.0,2.8797996661101837,19.7296142578125,,,,,,,20200129,20200129_010
