,time,code,ampshift,fsl,onset,spkamp,exptname,animalID
890,114.98685249999998,T,20.0,5.203468979319545,3.6824549699799864,52.947998046875,20200531_001,20200531
894,115.66629249999998,T,-10.0,,,0.0,20200531_001,20200531
898,116.35543249999999,T,40.0,4.122748498999333,3.002001334222815,52.459716796875,20200531_001,20200531
902,116.98539249999999,T,5.0,6.684456304202802,4.38292194796531,51.7120361328125,20200531_001,20200531
906,117.65729249999998,T,-5.0,,,0.0,20200531_001,20200531
910,118.3309525,T,10.0,6.0640426951300865,4.1827885256837884,49.4537353515625,20200531_001,20200531
924,120.7018725,T,-20.0,,,0.0,20200531_001,20200531
928,121.35193249999999,T,0.0,7.805203468979319,4.743162108072048,47.271728515625,20200531_001,20200531
932,122.03263249999999,T,-30.0,,,0.0,20200531_001,20200531
936,122.6831125,T,-40.0,,,0.0,20200531_001,20200531
940,123.37037249999999,T,30.0,4.743162108072048,3.342228152101401,47.1343994140625,20200531_001,20200531
944,124.0201525,T,20.0,5.383589059372915,3.8025350233488995,47.1649169921875,20200531_001,20200531
948,124.69251249999999,T,-10.0,,,0.0,20200531_001,20200531
952,125.31119249999999,T,40.0,4.122748498999333,2.9219479653102067,47.393798828125,20200531_001,20200531
956,125.89863249999999,T,5.0,6.76450967311541,4.643095396931288,46.539306640625,20200531_001,20200531
960,126.49411249999999,T,-5.0,,,0.0,20200531_001,20200531
964,127.13569249999999,T,10.0,6.784523015343562,4.28285523682455,45.8984375,20200531_001,20200531
978,129.42019249999998,T,-20.0,,,0.0,20200531_001,20200531
982,130.12381249999999,T,0.0,9.90660440293529,4.843228819212809,44.097900390625,20200531_001,20200531
1301,174.61653249999998,T,-20.0,,,0.0,20200531_001,20200531
1305,175.25739249999998,T,0.0,,,0.0,20200531_001,20200531
1309,175.8658525,T,-30.0,,,0.0,20200531_001,20200531
1313,176.5425325,T,-40.0,,,0.0,20200531_001,20200531
1317,177.19149249999998,T,30.0,4.763175450300199,3.182121414276184,65.0787353515625,20200531_001,20200531
1321,177.92107249999998,T,20.0,5.2434956637758505,3.422281521014009,65.12451171875,20200531_001,20200531
1325,178.55339249999997,T,-10.0,,,0.0,20200531_001,20200531
1329,179.2090925,T,40.0,4.142761841227485,2.941961307538359,65.1702880859375,20200531_001,20200531
1333,179.81979249999998,T,5.0,7.064709806537691,4.442961974649767,64.88037109375,20200531_001,20200531
1337,180.48321249999998,T,-5.0,,,0.0,20200531_001,20200531
1341,181.15199249999998,T,10.0,7.404936624416277,4.142761841227485,64.361572265625,20200531_001,20200531
1355,183.51247249999997,T,-20.0,,,0.0,20200531_001,20200531
1359,184.1144325,T,0.0,8.345563709139427,4.503002001334223,64.544677734375,20200531_001,20200531
1363,184.78315249999997,T,-30.0,,,0.0,20200531_001,20200531
1367,185.4734925,T,-40.0,,,0.0,20200531_001,20200531
1371,186.12739249999998,T,30.0,4.6030687124749825,3.162108072048032,65.4296875,20200531_001,20200531
1375,186.77625249999997,T,20.0,5.423615743829219,3.7024683122081385,64.6514892578125,20200531_001,20200531
1379,187.4711525,T,-10.0,,,0.0,20200531_001,20200531
1383,188.1247325,T,40.0,4.142761841227485,2.8218812541694462,65.0634765625,20200531_001,20200531
1387,188.75953249999998,T,5.0,7.545030020013342,1.0206804536357572,64.971923828125,20200531_001,20200531
1391,189.4187725,T,-5.0,,,0.0,20200531_001,20200531
1395,190.00335249999998,T,10.0,7.965310206804537,4.00266844563042,63.96484375,20200531_001,20200531
1409,191.8888925,T,-20.0,,,0.0,20200531_001,20200531
1413,192.4494125,T,-0.0,10.026684456304203,4.803202134756504,63.6138916015625,20200531_001,20200531
1417,193.01903249999998,T,-30.0,,,0.0,20200531_001,20200531
1421,193.65101249999998,T,-40.0,,,0.0,20200531_001,20200531
1425,194.27671249999997,T,30.0,4.983322214809873,3.3022014676450966,64.910888671875,20200531_001,20200531
1429,194.8904925,T,20.0,5.263509006004003,3.7424949966644427,64.3463134765625,20200531_001,20200531
1433,195.5119125,T,-10.0,,,0.0,20200531_001,20200531
1437,196.13365249999998,T,40.0,4.142761841227485,1.1407605070046698,64.8040771484375,20200531_001,20200531
1441,196.77761249999998,T,5.0,6.944629753168779,4.1827885256837884,64.7430419921875,20200531_001,20200531
1445,197.45341249999998,T,-5.0,,,0.0,20200531_001,20200531
1449,198.09825249999997,T,10.0,6.484322881921281,4.142761841227485,64.02587890625,20200531_001,20200531
1463,200.12779249999997,T,-20.0,,,0.0,20200531_001,20200531
1467,200.77683249999998,T,-0.0,,,0.0,20200531_001,20200531
1471,201.42605249999997,T,-30.0,,,0.0,20200531_001,20200531
1475,202.11089249999998,T,-40.0,,,0.0,20200531_001,20200531
1479,202.77459249999998,T,30.0,4.6030687124749825,3.202134756504336,63.9801025390625,20200531_001,20200531
1483,203.45975249999998,T,20.0,5.543695797198132,3.6424282855236823,63.5986328125,20200531_001,20200531
1487,204.09279249999997,T,-10.0,,,0.0,20200531_001,20200531
1491,204.71079249999997,T,40.0,4.102735156771181,2.981987991994663,63.41552734375,20200531_001,20200531
1495,205.2645125,T,5.0,7.6851234156104065,4.462975316877918,62.4847412109375,20200531_001,20200531
1499,205.92955249999997,T,-5.0,,,0.0,20200531_001,20200531
1503,206.4980125,T,10.0,6.4643095396931285,4.1827885256837884,62.9730224609375,20200531_001,20200531
1517,208.7409525,T,-20.0,,,0.0,20200531_001,20200531
1521,209.3483925,T,-0.0,,,0.0,20200531_001,20200531
1525,209.9673925,T,-30.0,,,0.0,20200531_001,20200531
1529,210.61141249999997,T,-40.0,,,0.0,20200531_001,20200531
1533,211.23169249999998,T,30.0,4.763175450300199,3.2621747831887924,63.5528564453125,20200531_001,20200531
1537,211.86933249999998,T,20.0,5.403602401601067,3.7024683122081385,62.98828125,20200531_001,20200531
1541,212.51555249999998,T,-10.0,,,0.0,20200531_001,20200531
1545,213.16119249999997,T,40.0,4.242828552368246,1.0206804536357572,64.1021728515625,20200531_001,20200531
1549,213.7882125,T,5.0,7.825216811207472,4.362908605737158,62.9730224609375,20200531_001,20200531
1553,214.42749249999997,T,-5.0,,,0.0,20200531_001,20200531
1557,215.0042125,T,10.0,7.164776517678452,4.342895263509005,62.6373291015625,20200531_001,20200531
1571,217.15009249999997,T,-20.0,,,0.0,20200531_001,20200531
1575,217.77039249999999,T,0.0,8.505670446964642,4.683122081387592,63.53759765625,20200531_001,20200531
1579,218.3970325,T,-30.0,,,0.0,20200531_001,20200531
1583,218.96313249999997,T,-40.0,,,0.0,20200531_001,20200531
1587,219.61393249999998,T,30.0,4.863242161440961,3.2821881254169445,63.995361328125,20200531_001,20200531
1591,220.2318925,T,20.0,5.763842561707805,3.62241494329553,63.90380859375,20200531_001,20200531
1595,220.80029249999998,T,-10.0,,,0.0,20200531_001,20200531
1599,221.3738325,T,40.0,4.1827885256837884,2.8418945963975983,63.7359619140625,20200531_001,20200531
1603,221.96619249999998,T,5.0,7.745163442294864,4.442961974649767,62.6220703125,20200531_001,20200531
1607,222.57111249999997,T,-5.0,,,0.0,20200531_001,20200531
1611,223.19489249999998,T,10.0,7.645096731154102,4.302868579052701,61.7828369140625,20200531_001,20200531
1625,225.3656925,T,-20.0,,,0.0,20200531_001,20200531
1629,225.97513249999997,T,0.0,,,0.0,20200531_001,20200531
1633,226.55839249999997,T,-30.0,,,0.0,20200531_001,20200531
1637,227.1488125,T,-40.0,,,0.0,20200531_001,20200531
1641,227.8167925,T,30.0,4.563042028018679,3.2621747831887924,61.6455078125,20200531_001,20200531
1645,228.43061249999997,T,20.0,5.543695797198132,3.8625750500333553,61.03515625,20200531_001,20200531
1649,229.0725325,T,-10.0,,,0.0,20200531_001,20200531
1653,229.68343249999998,T,40.0,4.082721814543029,3.0420280186791193,60.455322265625,20200531_001,20200531
1657,230.32375249999998,T,5.0,7.52501667778519,4.302868579052701,60.24169921875,20200531_001,20200531
1661,230.98651249999998,T,-5.0,,,0.0,20200531_001,20200531
1665,231.6089525,T,10.0,6.6644429619746495,4.082721814543029,60.760498046875,20200531_001,20200531
1679,233.8705125,T,-20.0,,,0.0,20200531_001,20200531
1683,234.50033249999998,T,0.0,,,0.0,20200531_001,20200531
1687,235.14355249999997,T,-30.0,,,0.0,20200531_001,20200531
1691,235.77985249999998,T,-40.0,,,0.0,20200531_001,20200531
1695,236.4622125,T,30.0,4.983322214809873,1.0206804536357572,62.80517578125,20200531_001,20200531
1699,236.98453249999997,T,20.0,5.52368245496998,3.602401601067378,62.1795654296875,20200531_001,20200531
1703,237.3786525,T,-10.0,,,0.0,20200531_001,20200531
1707,237.71531249999998,T,40.0,4.1827885256837884,2.961974649766511,62.4542236328125,20200531_001,20200531
1711,238.04411249999998,T,5.0,6.8645763842561704,4.523015343562375,62.103271484375,20200531_001,20200531
1715,238.42749249999997,T,-5.0,,,0.0,20200531_001,20200531
1719,238.77039249999999,T,10.0,6.644429619746497,4.262841894596398,61.309814453125,20200531_001,20200531
1733,240.2687925,T,-20.0,,,0.0,20200531_001,20200531
1737,240.77843249999998,T,-0.0,,,0.0,20200531_001,20200531
1741,241.30115249999997,T,-30.0,,,0.0,20200531_001,20200531
1745,241.82441249999997,T,-40.0,,,0.0,20200531_001,20200531
1749,242.3481325,T,30.0,4.6030687124749825,3.2821881254169445,61.5081787109375,20200531_001,20200531
